@relation clean_data

@attribute Location {Mumbai,Pune,Chennai,Coimbatore,Hyderabad,Jaipur,Kochi,Delhi,Bangalore,Kolkata,Ahmedabad}
@attribute Year numeric
@attribute Kilometers_Driven numeric
@attribute Fuel_Type {CNG,Diesel,Petrol,LPG,Electric}
@attribute Mileage numeric
@attribute Engine numeric
@attribute Power numeric
@attribute Seats numeric
@attribute Price numeric

@data
Coimbatore,2010,27089,Petrol,16,1086,66.7,5,1.95
Hyderabad,2016,53702,Diesel,23.59,1364,67.04,5,6.55
Kolkata,2015,51000,Diesel,27.03,1969,190,5,25
Mumbai,2012,36542,Diesel,20,1399,68.05,5,2.65
Chennai,2017,15000,Diesel,13,2987,265,5,69.5
Pune,2012,65000,Diesel,22.69,1995,190,5,14
Hyderabad,2014,32000,Petrol,22.74,796,47.3,5,2.1
Hyderabad,2017,24393,Diesel,13.68,2393,147.8,7,20.4
Mumbai,2019,1000,Petrol,18.78,999,75,5,5.68
Mumbai,2014,28238,Petrol,13.24,1598,102.5,5,5.55
Mumbai,2013,59000,Diesel,13.5,2477,175.56,7,12.75
Kolkata,2012,92000,Petrol,14.8,1799,130.2,5,3.35
Coimbatore,2013,56840,Petrol,22.74,796,47.3,5,1.55
Hyderabad,2013,62746,Diesel,20.54,1598,103.6,5,5.9
Mumbai,2012,96000,Diesel,12.35,2179,187.74,5,18.98
Mumbai,2014,24000,Petrol,13.7,1997,153.86,5,11.51
Chennai,2016,54000,Diesel,20.77,1248,88.76,7,7.75
Kolkata,2016,90000,Diesel,12.99,2494,100.6,7,13.9
Mumbai,2010,40000,Petrol,15,1368,90,5,1.35
Mumbai,2015,65938,Diesel,12.07,2967,241.4,7,38
Hyderabad,2017,16100,Petrol,17.1,1591,121.4,5,11.6
Jaipur,2017,3600,Diesel,21.5,1498,108.5,5,12.25
Mumbai,2011,52000,Petrol,17,1497,118,5,3.8
Mumbai,2014,54000,Diesel,20,1399,68.05,5,3.25
Bangalore,2016,15399,Petrol,18.7,1199,88.7,5,6.4
Delhi,2012,75000,Petrol,16.47,1198,73.9,5,3.95
Mumbai,2010,76752,Petrol,17.4,1497,117.3,5,3.57
Pune,2005,56000,Petrol,17.7,1497,78,5,1.25
Kolkata,2015,70000,CNG,26.2,998,58.2,5,3.65
Ahmedabad,2013,46125,Petrol,12,2354,187.4,5,12.5
Chennai,2014,35000,Diesel,18.12,1995,190,5,23
Coimbatore,2003,80000,Diesel,12.8,1489,35.5,5,1.35
Kolkata,2012,62729,Diesel,12.05,2179,120,8,6.32
Jaipur,2012,34000,Diesel,20.54,1598,103.6,5,3.4
Jaipur,1999,70000,Petrol,17.3,993,60,5,0.77
Delhi,2009,32000,Petrol,16.1,796,37,4,0.9
Pune,2017,21000,Petrol,14.28,1798,138.03,5,18
Chennai,2013,49000,Petrol,14.59,1997,245,5,19
Pune,2007,40000,Petrol,13.8,1299,70,5,1.1
Ahmedabad,2012,78000,Petrol,18.6,1199,79.4,5,2
Bangalore,2012,52000,Diesel,21.43,1364,86.79,5,6.5
Mumbai,2014,65213,Diesel,16,2179,140,7,9.45
Kochi,2016,170000,Diesel,24.4,1120,71,5,4
Pune,2017,36884,Diesel,13,2143,204,5,32.25
Mumbai,2009,62500,Petrol,20.36,1197,78.9,5,2.1
Kolkata,2015,68000,Petrol,14.28,1798,138.03,5,9.75
Hyderabad,2014,40748,Petrol,14.53,1798,138,5,6.3
Mumbai,2013,60000,Diesel,17.32,1968,184,5,21
Mumbai,2014,12400,Diesel,21.9,1396,88.8,5,4.65
Pune,2013,87000,Diesel,19.27,2143,167.62,5,17
Coimbatore,2013,20248,Diesel,21.1,1248,73.9,5,4.35
Delhi,2017,52383,Diesel,19.67,1582,126.2,5,14.82
Chennai,2018,1000,Diesel,13.6,1999,177,5,40
Ahmedabad,2016,85000,Diesel,14.95,2489,93.7,7,6.15
Pune,2014,47000,Diesel,12.99,2494,100.6,7,11.25
Coimbatore,2018,17585,Petrol,19.16,2494,157.7,5,32
Kochi,2018,32496,Diesel,13.22,2967,241.4,5,45.62
Chennai,2017,34613,Diesel,28.4,1248,74,5,6.24
Chennai,2015,153000,Diesel,20.77,1248,88.76,7,4.8
Kochi,2014,54000,Petrol,16.1,1197,85,5,4.5
Delhi,2015,16900,Petrol,20.36,1197,78.9,5,3.87
Kochi,2013,62334,Petrol,20.36,1197,78.9,5,2.75
Jaipur,2018,23714,Petrol,21.4,1197,83.1,5,6.57
Ahmedabad,2010,52325,Petrol,16.36,1495,93.7,5,2
Hyderabad,2012,50000,Petrol,19.4,1198,86.8,5,3.65
Bangalore,2016,55746,Diesel,22.9,1248,74,5,6.95
Kolkata,2014,54000,Petrol,20.14,1197,81.86,5,5.5
Delhi,2013,43000,Diesel,16,2179,140,7,7
Bangalore,2014,40000,Diesel,13,2143,201.1,5,24
Bangalore,2010,125000,Diesel,0,2179,115,5,11
Kochi,2016,51944,Diesel,19.27,2143,170,5,32.5
Mumbai,2015,46950,Diesel,21.27,1396,88.76,5,6.45
Mumbai,2015,23000,Diesel,19.3,1968,141,5,15.75
Kochi,2014,54546,Petrol,17,1497,118,5,5.5
Kolkata,2015,51535,Diesel,12.55,2982,168.5,7,19.03
Hyderabad,2013,45000,Diesel,17.32,1968,184,5,15.25
Chennai,2012,46004,Petrol,20.92,998,67.1,5,2.4
Kochi,2011,124000,Diesel,23.03,1396,69,5,2.3
Mumbai,2014,77395,Diesel,17.11,1968,174.33,5,14.35
Kochi,2018,10600,CNG,33.44,796,40.3,4,3.5
Jaipur,2018,22974,Petrol,18,1497,117.3,5,11.97
Ahmedabad,2009,89000,Petrol,0,999,0,5,1.6
Ahmedabad,2015,65012,Diesel,14.24,2755,174.5,7,18.9
Hyderabad,2017,17125,Petrol,18.9,1197,82,5,5.4
Bangalore,2015,90413,Petrol,15.1,1196,73,7,2.95
Jaipur,2013,37000,Petrol,16.47,1198,73.9,5,5.1
Bangalore,2006,65000,Petrol,18.9,1061,67,5,1.5
Mumbai,2011,66000,Petrol,17,1497,118,5,4.9
Pune,2010,86000,Petrol,14.8,1799,130.2,5,2.9
Kolkata,2005,98437,Petrol,13,1493,100,5,1.15
Kochi,2010,18000,Petrol,18.5,1197,80,5,2.3
Pune,2018,35070,Diesel,24,1120,70,5,5.99
Kolkata,2011,42000,Petrol,14.4,1598,103.6,5,3.4
Kolkata,2009,40000,Petrol,20.36,1197,78.9,5,1.7
Pune,2009,43000,Petrol,17,1197,80,5,1.99
Hyderabad,2012,65000,Petrol,18.6,1199,79.4,5,2.5
Hyderabad,2013,74000,Diesel,22.07,1199,73.9,5,4.85
Kochi,2010,51192,Petrol,15.6,1196,70,5,2.65
Jaipur,2014,14262,Petrol,9.9,1984,207.8,2,27.35
Hyderabad,2015,66339,Diesel,25.1,1498,98.6,5,6.9
Delhi,2013,90200,Diesel,20,1399,68.05,5,3.5
Delhi,2015,57854,Diesel,12.99,2494,100.6,7,12.5
Mumbai,2017,32000,Petrol,19.12,1373,91.1,5,9.2
Delhi,2015,29631,Petrol,18.9,1197,82,5,4.9
Kochi,2009,55005,Petrol,12.8,0,0,0,3.2
Ahmedabad,2014,54173,Petrol,18.88,999,123.24,5,5.55
Kolkata,2014,50000,Petrol,14.7,1798,177.6,5,13.5
Jaipur,2010,145000,Diesel,20.4,1248,91.7,5,2.6
Delhi,2015,78000,Petrol,16.1,1298,88.2,5,4.5
Hyderabad,2013,65000,Diesel,11.8,2993,180,7,34
Mumbai,2012,120000,Diesel,12.8,2494,102,7,12
Kochi,2015,14000,Diesel,28.4,1248,74,5,5.25
Coimbatore,2014,57456,Diesel,17.68,1968,174.33,5,21.56
Delhi,2012,44450,Diesel,22.48,1995,190,5,24.68
Mumbai,2013,63777,Petrol,18.5,1197,82.9,5,3.67
Delhi,2016,31000,Diesel,17.05,1995,190,5,29.5
Ahmedabad,2012,60000,Petrol,17.6,1496,88.73,5,3.1
Bangalore,2015,78008,Diesel,17,1405,70,5,2.9
Mumbai,2014,33000,Diesel,0,2987,165,5,43
Hyderabad,2009,27078,Petrol,10.98,1984,114.4,4,15.95
Delhi,2011,57275,Diesel,19.7,1598,103.6,5,4.5
Delhi,2014,45000,Diesel,24,1120,70,5,3.49
Chennai,2014,57319,Diesel,25.2,1248,74,5,4.25
Mumbai,2008,121097,Diesel,24,1396,88.76,5,1.9
Bangalore,2011,89000,Diesel,16.73,1995,218,5,16.57
Delhi,2012,72000,Petrol,17,1497,118,5,5.75
Jaipur,2013,36000,Diesel,16.55,1968,147.51,5,14
Ahmedabad,2013,86000,Diesel,19.5,1248,75,5,2.5
Pune,2002,85000,Petrol,13,1343,90,5,1.2
Kochi,2005,120000,Petrol,15.5,1242,0,5,0.85
Chennai,2013,37613,Diesel,22.69,1995,190,5,13.95
Coimbatore,2007,100000,Petrol,16.6,1388,68,5,1.6
Mumbai,2016,5240,Petrol,21.9,624,37.48,4,3.6
Coimbatore,2018,20000,CNG,15.1,1196,73,5,4.5
Coimbatore,2019,16862,Petrol,20.89,1197,81.8,5,6.06
Jaipur,2013,59254,Petrol,17.5,1298,85.8,5,5.29
Hyderabad,2014,60000,Diesel,22.7,1498,89.84,5,5.75
Coimbatore,2015,50295,Petrol,16.1,0,0,0,5.8
Kochi,2014,47674,Petrol,19.1,1197,85.8,5,5.72
Coimbatore,2014,61517,Petrol,16.95,1197,78.9,5,4.39
Delhi,2016,62946,Diesel,15.1,2179,140,7,11.05
Pune,2015,66823,Diesel,22.54,1396,88.73,5,4.83
Chennai,2013,79494,CNG,33.54,998,67.04,5,2.96
Mumbai,2012,107000,Diesel,21.27,1396,88.76,5,4.5
Mumbai,2011,55000,Diesel,16.46,2993,258,5,19.5
Mumbai,2017,24000,Petrol,14.3,1598,103.52,5,8.75
Kochi,2016,20002,Diesel,14.75,2967,245,7,67
Mumbai,2016,54317,Petrol,17.4,1497,117.3,5,8.4
Coimbatore,2016,10200,Petrol,19.1,1197,82,5,4.99
Pune,2016,24337,Diesel,26,1498,98.6,5,8.18
Jaipur,2012,79000,Petrol,18.4,1198,86.8,5,2.9
Pune,2015,40500,Diesel,28.09,1248,88.5,5,7.1
Pune,2016,23000,Diesel,26.59,1248,74,5,7.05
Mumbai,2015,63050,Petrol,11.1,2354,158.8,5,17.5
Pune,2008,78000,Petrol,14.53,1794,138.1,5,3.41
Coimbatore,2005,70000,Petrol,0,1590,0,5,1.3
Bangalore,2012,66245,Petrol,17,1497,118,5,5.68
Delhi,2007,74112,Diesel,12.05,2179,120,9,4.1
Hyderabad,2011,87670,Petrol,13.4,1798,157.8,5,4
Chennai,2015,10000,Diesel,18.88,1995,184,5,30
Kochi,2007,62493,Petrol,15,1586,104.68,5,1.8
Bangalore,2015,44620,Petrol,20.73,1373,91.1,5,6.93
Ahmedabad,2012,66538,Diesel,10.2,4367,308,7,70
Kochi,2013,60000,Diesel,12.99,2494,100,7,7.9
Chennai,2011,20842,Petrol,0,1086,62,5,2.78
Mumbai,2014,110000,Diesel,13.01,2199,194.3,7,14.4
Mumbai,2011,45000,Petrol,11.74,1796,186,5,13.5
Coimbatore,2014,40000,CNG,26.6,998,58.16,5,3.15
Kolkata,2012,49008,Petrol,19.7,796,46.3,5,2.88
Pune,2016,31000,Petrol,24.7,796,47.3,5,2.15
Mumbai,2013,8000,Petrol,16.95,1498,97.7,5,3.75
Kolkata,2019,171,Petrol,24.7,796,47.3,5,3.6
Coimbatore,2018,2100,Petrol,24.07,998,67.1,5,3.6
Kolkata,2018,20667,Petrol,18.9,1197,81.86,5,7.55
Jaipur,2015,50000,Diesel,24.2,1498,98.6,7,4.7
Pune,2010,100030,Diesel,18.8,1248,90,5,1.6
Kochi,2011,75372,Diesel,16.52,1991,123.7,5,3.34
Kochi,2016,60475,Petrol,18,1497,117.3,5,9.1
Hyderabad,2019,18453,Petrol,18.9,1197,81.86,5,6.17
Kolkata,2008,96578,Diesel,22,1582,126.2,5,2.5
Jaipur,2016,31001,Petrol,18.44,1198,75,5,3
Bangalore,2012,65900,Diesel,22.32,1582,126.32,5,5.75
Jaipur,2017,26246,Petrol,15.29,1591,121.3,5,10.75
Chennai,2013,62700,Petrol,20.51,998,67.04,5,2.85
Bangalore,2008,90000,Petrol,10.2,2354,180,5,6.5
Delhi,2016,36000,Petrol,16.8,1497,118,5,9.45
Coimbatore,2016,46000,Diesel,27.39,1248,74,5,6.75
Kochi,2017,73003,Diesel,26,1498,98.6,5,7.75
Jaipur,2014,46566,Diesel,22.54,1396,88.76,5,4.4
Kochi,2015,41493,Diesel,13,2987,265,5,42
Bangalore,2014,103788,Diesel,19.01,1461,108.5,5,5.67
Pune,2016,45000,Diesel,19.6,1461,108.45,5,11.5
Jaipur,2009,120000,Petrol,18.9,998,67.1,5,1.69
Mumbai,2009,97359,Diesel,17.1,1493,110,5,1.8
Pune,2016,62000,Petrol,18.5,1197,85.8,5,3.2
Kochi,2004,115000,Petrol,0,0,0,0,1.5
Hyderabad,2019,18373,Diesel,22.48,1995,187.74,5,45.86
Pune,2016,60453,Petrol,16.47,1198,74,5,5.1
Mumbai,2013,37000,Diesel,17.8,1248,0,5,4.85
Hyderabad,2010,69009,Petrol,15.6,1196,70,5,2.4
Delhi,2013,30000,Diesel,18.88,1995,184,5,22
Coimbatore,2012,70707,Diesel,22.32,1582,126.32,5,4.28
Bangalore,2015,64677,Diesel,20.45,1461,83.8,5,5.67
Bangalore,2018,3000,Petrol,18.9,1197,81.86,5,6.2
Pune,2013,49000,Diesel,17.05,1995,184,5,14.49
Jaipur,2010,71000,Diesel,21.1,1248,73.9,5,3
Kochi,2010,52000,Petrol,19.81,1086,68.05,5,2.25
Kochi,2016,35659,Diesel,15.97,2993,258,7,43.78
Delhi,2019,5377,Petrol,16.8,1497,116.3,5,11.45
Coimbatore,2014,65000,Diesel,11.18,2696,184,7,10.5
Coimbatore,2015,92708,Diesel,22.7,1498,89.84,5,7.48
Mumbai,2010,48105,Petrol,19.7,796,46.3,5,3.1
Jaipur,2011,46759,Petrol,16.47,1198,74,5,2.55
Kolkata,2013,62000,Diesel,22.07,1199,73.9,5,3.5
Kolkata,2012,35175,Diesel,22.07,1199,73.9,5,2.59
Kolkata,2013,70000,Diesel,20.77,1248,88.8,7,5.45
Kolkata,2017,30000,Diesel,22.77,1498,98.59,5,6
Mumbai,2016,66618,Diesel,11.36,2755,171.5,7,15.49
Kolkata,2010,69300,Petrol,10.8,2497,150,5,12.5
Mumbai,2017,148000,Diesel,23.4,1248,74,5,4.75
Ahmedabad,2017,22000,Petrol,18.88,999,123.24,5,7.85
Mumbai,2013,75000,Diesel,16.8,1493,110,5,6
Mumbai,2016,43706,Petrol,17.57,1193,88.7,5,4
Pune,2011,42000,Diesel,14.4,2967,241.4,5,28.75
Delhi,2012,65000,Diesel,22.3,1248,74,5,2.5
Kolkata,2015,76128,Diesel,26.59,1248,74,5,5.5
Mumbai,2010,39852,Petrol,16,1368,90,5,1.59
Kolkata,2017,18673,Petrol,18.6,1197,81.83,5,6.22
Chennai,2016,11583,Petrol,21.1,814,55.2,5,2.75
Pune,2007,82000,Petrol,0,1086,0,5,1.35
Delhi,2017,50000,Diesel,17.9,2143,136,5,25
Mumbai,2014,77000,Petrol,23.1,998,67.04,5,2.8
Pune,2014,54890,Petrol,17.8,1199,76.8,5,2.45
Mumbai,2016,21000,Petrol,19,1199,88.7,5,6.35
Bangalore,2009,58557,Diesel,16.07,1995,181,5,8
Mumbai,2014,70000,Diesel,19.01,1461,108.45,5,8.25
Kochi,2017,16000,Petrol,17.01,1499,110.4,5,5.95
Kochi,2018,8899,Diesel,13.68,2393,147.8,7,19.92
Chennai,2016,83629,Diesel,25.44,936,56.3,5,3.15
Kochi,2014,35059,Petrol,17.21,1798,189,4,5.75
Kochi,2018,30552,Diesel,10.91,3198,197.2,7,32.44
Coimbatore,2016,44875,Diesel,22.32,1582,126.32,5,8.01
Jaipur,2017,25095,Petrol,18.16,1196,86.8,5,6.48
Kolkata,2007,59000,Petrol,16.1,796,37,4,0.75
Mumbai,2014,36000,Diesel,26,1498,98.6,5,5
Chennai,2012,37000,Diesel,16,2179,140,7,7.75
Pune,2010,90000,Diesel,20,1399,68,5,2.6
Mumbai,2018,17000,Petrol,17,1497,121.36,5,9.2
Hyderabad,2015,42575,Petrol,18.6,1197,81.83,5,5.05
Mumbai,2012,131000,Diesel,12.99,2494,100,7,9.6
Mumbai,2013,74000,Diesel,20.46,1461,83.8,5,5.5
Delhi,2013,47234,Diesel,12.99,2494,100.6,8,9.35
Hyderabad,2009,231673,Petrol,17,1497,118,5,2.6
Kochi,2016,10000,Petrol,24.07,998,67.1,5,3.5
Chennai,2016,49389,Petrol,19.49,1198,67.04,5,4.26
Hyderabad,2016,12000,Petrol,23.1,998,67.04,5,4.25
Chennai,2010,65000,Petrol,11.7,1796,178,5,11.75
Jaipur,2013,177000,Diesel,23.5,1498,88.7,5,3.5
Chennai,2015,89000,Petrol,17.01,1591,121.3,5,7.5
Chennai,2009,72000,Petrol,15,1396,100,5,3.25
Hyderabad,2012,49000,Petrol,17.5,1298,85.8,5,4.9
Kochi,2014,51355,Diesel,14.84,2143,170,5,27
Kochi,2017,13460,Petrol,18.6,1197,81.86,5,8.91
Kochi,2014,35642,Petrol,17.01,1591,121.4,5,6.69
Mumbai,2014,52895,Diesel,17.3,1998,163.7,5,6.02
Pune,2010,93000,Petrol,14.28,1798,138.03,5,4.5
Kolkata,2011,70000,Petrol,19,998,66.1,5,2
Pune,2012,32048,Diesel,23.08,1461,63.1,5,2.4
Delhi,2013,4700,Petrol,25.4,624,37.48,4,1.2
Coimbatore,2014,71800,Diesel,23.4,1248,74,5,2.9
Ahmedabad,2008,69078,Petrol,0,0,0,0,40.88
Chennai,2016,45000,Diesel,17.32,1968,184,5,27
Mumbai,2016,15388,Diesel,25.8,1498,98.6,5,7.5
Hyderabad,2004,98798,Petrol,14.7,1599,104,5,1.5
Hyderabad,2016,43000,Diesel,14.16,1968,174.3,5,39.5
Kochi,2012,85112,Diesel,23.2,1248,73.94,5,3.39
Chennai,2018,37804,Diesel,15.4,2179,120,7,12.4
Pune,2014,45000,Diesel,28.09,1248,88.5,5,6.85
Chennai,2011,116000,Diesel,21.43,1364,138,5,5.75
Jaipur,2015,100073,Diesel,25,1396,69,5,2
Kolkata,2006,165000,Petrol,16.1,796,37,4,0.9
Delhi,2015,22000,Petrol,16.47,1198,74,5,3.8
Hyderabad,2017,9500,Petrol,14.62,1999,149.92,5,16.35
Coimbatore,2012,152000,Diesel,11.5,2982,169,7,16.5
Mumbai,2019,17705,Petrol,21.4,1197,83.1,5,8.7
Hyderabad,2016,12000,Petrol,21.4,1197,83.1,5,6.1
Chennai,2013,51000,Diesel,23.8,1998,112,5,21.94
Delhi,2009,42000,Diesel,13,2987,210,5,22
Kochi,2015,51000,Petrol,20.92,998,67.1,5,2.65
Kolkata,2017,42527,Petrol,20.4,1197,81.8,5,5.27
Kolkata,2014,45000,Diesel,22.1,1248,74,5,2.48
Mumbai,2011,70000,Diesel,12.8,2494,102,8,6
Hyderabad,2009,92000,Diesel,11.5,2982,171,7,8.9
Coimbatore,2012,57156,Diesel,18.88,1995,184,5,18
Kolkata,2016,53211,Petrol,16.8,1395,138.02,5,11.64
Bangalore,2019,80000,Diesel,11.5,2982,171,7,8.99
Kolkata,2009,74000,Diesel,15.5,1896,105,5,5.25
Mumbai,2011,37000,Diesel,23,1396,90,5,2.95
Pune,2013,64000,Diesel,21.02,1248,88.76,5,2.65
Chennai,2013,57197,Petrol,15.04,1598,103.6,5,4
Mumbai,2016,55000,Diesel,17.6,1582,126.2,5,12.5
Delhi,2014,33000,Petrol,21.1,1197,85.8,5,3.25
Delhi,2008,70000,Petrol,13.1,1997,141.1,5,4
Jaipur,2012,75000,Diesel,15.1,2179,140,7,6.25
Kolkata,2016,58095,Diesel,21.66,1498,108.62,5,5.8
Kochi,2015,7445,Petrol,17.57,1193,88.7,5,5
Kochi,2016,17652,Diesel,12.9,2993,270.88,5,58.73
Pune,2018,28321,Petrol,14.28,1798,138.03,5,17.49
Mumbai,2011,69000,Petrol,19,998,66.1,5,1.95
Delhi,2007,80000,Petrol,11.1,2354,142,5,3
Delhi,2014,42365,Petrol,17,1197,80,5,5.5
Mumbai,2013,123000,Diesel,12.55,2982,168.5,7,16.5
Hyderabad,2011,40000,Petrol,11.74,1796,186,5,14.5
Kochi,2016,30112,Diesel,27.39,1248,74,5,7.79
Kochi,2017,43775,Diesel,20.77,1248,88.76,7,8.27
Mumbai,2019,26013,Diesel,12.65,2993,255,5,97.07
Hyderabad,2012,56000,Petrol,12.9,1598,102.5,5,2.15
Coimbatore,2008,95000,Petrol,12.9,1799,130,5,3
Mumbai,2014,41089,Diesel,16.09,1995,184,5,28.79
Delhi,2011,41988,Diesel,20,1968,138.1,5,5.45
Pune,2013,72486,Diesel,23.4,1248,74,5,3.95
Delhi,2013,92000,Diesel,23.3,1984,150,5,16
Bangalore,2013,40000,Petrol,17.5,1298,85.8,5,4.25
Mumbai,2014,56000,Diesel,12.7,2179,187.7,5,34.5
Kochi,2008,125000,Petrol,11.7,2354,177.6,5,2.6
Hyderabad,2017,29219,Diesel,12.99,2494,100.6,8,13.48
Kochi,2018,39927,Diesel,12.55,2982,168.5,7,32.1
Kolkata,2018,38593,Petrol,18.7,1199,88.7,5,6.17
Hyderabad,2015,32000,Petrol,17,1497,118,5,5.5
Pune,2017,28226,Diesel,28.4,1248,73.75,5,9.15
Chennai,2014,95000,Diesel,21.64,1461,84.8,5,4.5
Coimbatore,2014,194000,Diesel,12.99,2494,100.6,8,10.5
Bangalore,2016,14821,Petrol,19.4,1198,86.8,5,5.37
Mumbai,2012,52000,Petrol,15.04,1598,103.6,5,5.45
Chennai,2016,33000,Diesel,16,2179,140,7,9.25
Hyderabad,2016,29200,Diesel,23,1498,98.96,5,7.7
Chennai,2012,99754,Diesel,17.72,1968,108.49,5,7.99
Hyderabad,2012,49000,Petrol,20.36,1197,78.9,5,3
Coimbatore,2005,299322,Diesel,12.8,2494,102,8,4
Delhi,2018,38310,Diesel,20.65,1248,88.7,5,6.69
Kolkata,2014,56000,Diesel,22.9,1248,74,5,4.25
Coimbatore,2017,31300,Diesel,21.72,1498,108.4,5,10.5
Pune,2019,11241,Diesel,13.68,2393,147.8,8,22.55
Coimbatore,2014,48000,Petrol,17.01,1591,121.3,5,5.2
Hyderabad,2019,23882,Petrol,17.4,1497,117.3,5,11.87
Jaipur,2014,65000,Diesel,26,1498,98.6,5,6.99
Chennai,2011,50000,Diesel,20.54,1598,103.6,5,5
Chennai,2014,25000,Diesel,12.19,2967,236,5,44
Pune,2015,21000,Petrol,22.74,796,47.3,5,2.79
Delhi,2012,148000,Diesel,21.12,1248,88.8,5,2.9
Bangalore,2016,68000,Petrol,15.29,1591,121.3,5,9.85
Jaipur,2014,52000,Diesel,12,2987,224,7,49
Mumbai,2016,19000,Diesel,16.55,2498,105,6,9.25
Coimbatore,2011,74000,Diesel,22.32,1582,126.3,5,3.75
Mumbai,2017,30279,Diesel,26.1,1498,99,5,7.29
Hyderabad,2016,20000,Diesel,20.7,1496,113.98,4,23.5
Pune,2013,34834,Petrol,14,796,35,5,2.6
Coimbatore,2015,90000,Diesel,21.03,1461,65,5,3.1
Kochi,2016,38730,Diesel,14.21,2143,203,5,29.98
Kolkata,2016,57390,Diesel,19.01,1461,108.45,5,6.73
Kolkata,2016,100000,Diesel,23.4,1248,74,5,3.5
Coimbatore,2011,50000,Petrol,16.47,1198,73.9,5,2.35
Coimbatore,2017,64961,Diesel,16,2179,140,7,16.13
Hyderabad,2014,72465,Petrol,16.47,1198,74,5,5.9
Pune,2012,68776,Petrol,21.1,1197,85.8,5,3.9
Delhi,2005,150000,Petrol,14.7,1598,0,5,1.5
Delhi,2012,68000,Diesel,12.8,2494,102,7,6.95
Coimbatore,2015,33000,Diesel,26,1498,98.6,5,7
Mumbai,2017,22389,Petrol,17,1198,73.75,5,7.23
Chennai,2012,90000,Diesel,21.5,1248,88.8,5,3.81
Pune,2012,42000,Petrol,18.6,1197,85.8,5,4.5
Bangalore,2017,38767,Diesel,19.67,1582,126.2,5,12.6
Coimbatore,2015,21000,Diesel,12.07,2967,241.4,7,48
Kolkata,2010,59136,Petrol,19.7,796,46.3,5,2.96
Chennai,2014,36000,Diesel,25.8,1498,98.6,5,3.25
Mumbai,2011,95000,Diesel,18.33,1968,167.7,5,8.5
Kochi,2013,51000,Diesel,19.5,1582,126.24,5,8.75
Mumbai,2011,36411,Petrol,18.9,998,67.1,5,3.08
Pune,2017,40000,Diesel,12.81,1999,148.31,7,41.5
Kochi,2016,27300,Petrol,17.8,1497,117.3,5,7
Pune,2011,29813,Petrol,14.74,1991,181.03,5,11.5
Kolkata,2011,71000,Petrol,20.51,998,67.04,5,2.6
Mumbai,2014,32000,Diesel,22.32,1582,126.3,5,4.3
Jaipur,2017,19234,CNG,17.5,1373,80.46,7,8.35
Pune,2017,50510,Diesel,17.06,1968,141,5,24.9
Kolkata,2011,102000,Diesel,15.06,1995,177,5,13.75
Mumbai,2014,42277,Diesel,24,1186,73.97,5,3.85
Chennai,2014,46000,Diesel,13,2143,201.1,5,23.25
Bangalore,2012,35000,Diesel,13.6,2523,0,7,7
Mumbai,2015,50000,Petrol,18.9,1197,82,5,5.75
Mumbai,2008,62000,Petrol,20.36,1197,78.9,5,1.65
Chennai,2012,78000,Diesel,19.33,1968,138.1,5,6.5
Kochi,2011,79000,Diesel,17.67,1968,138.08,5,7.5
Chennai,2019,6773,Diesel,14.75,2967,245,7,72.94
Kochi,2010,135000,Diesel,11.5,2982,171,7,11
Coimbatore,2013,36716,Petrol,18.9,1061,67,5,3.02
Delhi,2013,65060,Petrol,21.1,814,55.2,5,3.32
Kolkata,2013,33000,Petrol,19.4,1198,86.8,5,3.24
Jaipur,2015,11110,Petrol,22.74,796,47.3,5,2.35
Mumbai,2013,63000,Diesel,15.96,2523,62.1,7,5.5
Mumbai,2015,27030,Petrol,17.8,1497,117.3,5,6.75
Pune,2015,19600,Petrol,15,1598,103.52,5,6.15
Hyderabad,2016,27755,Petrol,22,1197,81.8,5,5.45
Kochi,2013,20000,Petrol,21.1,814,55.2,5,2.3
Coimbatore,2015,24782,Petrol,20.85,1197,83.14,5,6.21
Delhi,2014,47303,Petrol,19.34,1198,76,5,5.21
Pune,2008,71000,Petrol,8.3,4134,250,7,11.99
Jaipur,2010,135000,Diesel,17.8,1248,75,5,3.1
Kolkata,2017,1000,Diesel,13.49,2179,138.03,5,7.5
Kochi,2016,29000,Diesel,20.14,1498,88.8,5,4
Bangalore,2016,36367,Petrol,17.8,1497,117.3,5,7.73
Hyderabad,2015,38000,Petrol,17.4,1497,117.3,5,7.8
Jaipur,2011,83969,Petrol,16.1,796,37,4,1.3
Pune,2014,82621,Diesel,20.14,1498,88.8,5,4.42
Kolkata,2009,89000,Diesel,12.5,1991,147.9,7,4
Kochi,2016,54000,Diesel,16,2179,140,7,13
Chennai,2015,61691,Diesel,25.8,1498,98.6,5,5.38
Jaipur,2011,32200,Petrol,17,1197,80,5,3.25
Mumbai,2016,68630,Petrol,20.51,998,67,5,3.87
Mumbai,2014,61000,Diesel,16.96,1968,138.03,5,8.25
Delhi,2018,32644,Petrol,20.73,1373,91.1,5,9.28
Mumbai,2012,85000,Diesel,11.79,2179,120,7,6.25
Kochi,2008,75000,Petrol,15.26,1150,74.9,5,1.15
Hyderabad,2016,40347,Petrol,20.73,1373,91.2,5,7.8
Kochi,2012,60788,Diesel,23,1396,90,5,4.5
Coimbatore,2018,18664,Petrol,18.7,1199,88.7,5,7.56
Bangalore,2017,57847,Diesel,16,2179,140,7,16.08
Chennai,2012,52237,Petrol,17,1197,80,5,4.5
